data	sr_temp_pow	max_temp_pow	min_temp_pow	min_temp_pow_przy_gruncie	sr_wilgotnosc_pow sr_preznosc_pary_wodnej	sr_zachmurzenie	sr_predkosc_wiatru	czas_trwania_wiatru_10_m_s	czas_trwania_wiatru_15_m_s	cisnienie_na_poziomie_morza	cisnienie_na_poziomie_stacji	dobowa_suma_opadu	opad_dzien	opad_noc	wysokosc_pokrywy_snieznej	rownowaznik_wodny_sniegu	uslonecznienie	czas_trwania_opadu_deszczu	czas_trwania_opadu_sniegu	czas_trwania_opadu_deszczu_ze_sniegiem	czas_trwania_mgly	czas_trwania_rosy	czas_trwania_szronu	czas_trwania_burzy
2018-09-13	19.7	28.1	12.0	8.0	71.6	15.8	2.6	1.0	0.0	0.0	1017.4	989.1	0.0	0.0	0.0	-	0.0	-	-	-	-	-	10.0	-	-
2018-09-14	17.2	20.6	14.7	12.5	87.5	17.1	6.5	1.4	0.0	0.0	1018.0	989.5	9.2	1.4	7.8	-	0.0	-	4.3	-	-	-	9.0	-	-
2018-09-15	17.0	20.8	15.8	15.8	82.1	15.7	5.9	2.8	0.0	0.0	1020.5	991.9	1.0	1.0	0.0	-	0.0	-	8.8	-	-	-	-	-	-
2018-09-16	14.4	21.3	8.4	5.0	75.5	11.8	1.4	1.6	0.0	0.0	1025.6	996.6	0.0	0.0	0.0	-	0.0	-	-	-	-	-	7.4	-	-
2018-09-17	16.5	25.3	7.9	5.3	77.3	14.0	2.8	0.8	0.0	0.0	1023.0	994.3	0.0	0.0	0.0	-	0.0	-	-	-	-	-	5.5	-	-
2018-09-18	18.2	26.3	11.0	8.3	74.6	14.8	4.8	0.8	0.0	0.0	1021.0	992.5	0.0	0.0	0.0	-	0.0	-	-	-	-	-	4.8	-	-
2018-09-19	17.9	26.7	10.3	9.0	70.4	13.4	0.3	1.0	0.0	0.0	1020.8	992.3	0.0	0.0	0.0	-	0.0	-	-	-	-	-	3.5	-	-
2018-09-20	18.1	27.7	10.2	8.0	68.4	12.9	0.4	0.6	0.0	0.0	1020.7	992.2	0.0	0.0	0.0	-	0.0	-	-	-	-	-	5.0	-	-
2018-09-21	18.2	27.3	9.9	7.8	67.8	13.1	1.9	1.1	0.0	0.0	1014.9	986.6	5.8	0.0	5.8	-	0.0	-	-	-	-	-	2.3	-	-
2018-09-22	13.2	19.6	11.7	10.8	80.6	12.1	6.9	3.4	0.2	0.0	1019.0	990.1	0.1	0.1	0.0	-	0.0	-	5.0	-	-	-	0.8	-	-
2018-09-23	13.3	17.4	9.6	8.5	74.3	11.2	7.0	3.0	0.2	0.0	1013.8	985.0	10.0	0.0	10.0	-	0.0	-	3.4	-	-	-	-	-	-
2018-09-24	10.1	16.9	7.9	6.8	73.3	9.2	5.8	7.9	7.5	0.0	1017.6	988.4	0.9	0.9	0.0	-	0.0	-	3.9	-	-	-	-	-	-
2018-09-25	7.8	11.8	6.0	5.8	72.4	7.5	5.0	5.3	0.0	0.0	1033.3	1003.4	0.2	0.2	0.0	-	0.0	-	0.2	-	-	-	-	-	-
2018-09-26	8.7	14.9	1.7	-1.4	72.4	7.9	3.8	2.6	0.0	0.0	1036.3	1006.4	0.0	0.0	0.0	-	0.0	-	0.3	-	-	-	-	-	-
2018-09-27	12.8	16.8	8.5	7.4	66.5	9.8	5.9	4.3	0.0	0.0	1028.3	999.0	0.0	0.0	0.0	-	0.0	-	-	-	-	-	2.8	-	-
2018-09-28	14.0	22.0	6.1	3.0	72.6	11.1	2.6	3.1	0.0	0.0	1019.5	990.6	1.6	0.0	1.6	-	0.0	-	2.3	-	-	-	-	-	-
2018-09-29	9.0	15.2	6.3	3.0	73.5	8.3	3.1	2.1	0.0	0.0	1026.6	997.0	0.0	0.0	0.0	-	0.0	-	0.7	-	-	-	3.0	-	-
2018-09-30	7.0	15.5	-0.6	-3.0	71.0	6.7	0.9	0.8	0.0	0.0	1023.1	993.4	0.0	0.0	0.0	-	0.0	-	-	-	-	-	13.0	-	-
2018-10-01	9.3	17.8	0.0	-3.0	74.4	8.6	2.9	2.3	0.0	0.0	1012.8	983.7	1.4	0.0	1.4	-	0.0	-	0.2	-	-	-	8.0	-	-
2018-10-02	8.3	12.2	6.8	3.6	84.3	9.2	6.5	3.5	0.0	0.0	1016.3	987.0	2.6	2.3	0.3	-	0.0	-	9.5	-	-	-	-	-	-
2018-10-03	9.8	14.6	3.8	1.2	71.5	8.5	5.9	7.8	6.7	0.0	1016.7	987.5	0.4	0.4	0.0	-	0.0	-	2.0	-	-	-	-	-	-
2018-10-04	8.7	13.8	5.1	3.1	75.5	8.3	4.3	4.0	0.0	0.0	1027.2	997.6	0.0	0.0	0.0	-	0.0	-	-	-	-	-	3.5	-	-
2018-10-05	8.9	18.3	1.3	-2.5	76.8	8.5	0.0	0.9	0.0	0.0	1027.5	997.9	0.0	0.0	0.0	-	0.0	-	-	-	-	-	4.0	-	-
2018-10-06	12.2	23.7	1.2	-1.8	72.8	9.8	1.9	1.5	0.0	0.0	1018.0	989.0	0.0	0.0	0.0	-	0.0	-	-	-	-	-	5.7	-	-
2018-10-07	14.3	21.1	8.0	5.3	78.8	12.7	5.3	2.5	0.0	0.0	1014.6	985.9	0.0	0.0	0.0	-	0.0	-	-	-	-	-	7.0	-	-
2018-10-08	11.6	17.2	9.4	9.0	75.5	10.3	7.5	2.9	0.0	0.0	1024.0	994.8	0.0	0.0	0.0	-	0.0	-	-	-	-	-	-	-	-
2018-10-09	12.5	19.4	8.9	7.8	80.0	11.3	5.1	2.0	0.0	0.0	1025.4	996.2	0.0	0.0	0.0	-	0.0	-	-	-	-	-	4.0	-	-
2018-10-10	12.1	21.2	4.5	3.0	79.4	11.0	0.3	2.5	0.0	0.0	1026.9	997.7	0.0	0.0	0.0	-	0.0	-	-	-	-	-	6.2	-	-
2018-10-11	11.7	19.0	5.8	2.5	84.3	11.5	0.9	2.5	0.0	0.0	1025.9	996.6	0.0	0.0	0.0	-	0.0	-	-	-	-	-	11.0	-	-
2018-10-12	12.6	22.2	5.1	1.5	77.5	10.9	0.3	0.8	0.0	0.0	1028.2	998.9	0.0	0.0	0.0	-	0.0	-	-	-	-	-	2.4	-	-
2018-10-13	12.7	21.9	4.6	1.5	78.9	11.3	0.0	1.0	0.0	0.0	1028.9	999.6	0.0	0.0	0.0	-	0.0	-	-	-	-	-	-	-	-
2018-10-14	11.5	21.7	4.5	1.4	82.0	10.8	2.0	1.5	0.0	0.0	1025.0	995.7	0.0	0.0	0.0	-	0.0	-	-	-	-	8.4	2.0	-	-
2018-10-15	10.9	20.7	3.6	-0.5	75.4	9.4	0.4	1.6	0.0	0.0	1023.3	994.0	0.0	0.0	0.0	-	0.0	-	-	-	-	-	3.8	-	-
2018-10-16	11.7	22.5	4.2	0.5	72.6	9.5	2.9	1.4	0.0	0.0	1022.6	993.5	0.0	0.0	0.0	-	0.0	-	-	-	-	-	9.0	-	-
2018-10-17	13.2	21.7	6.8	5.0	69.9	10.1	5.9	1.1	0.0	0.0	1022.1	993.1	0.0	0.0	0.0	-	0.0	-	-	-	-	-	7.0	-	-
2018-10-18	13.4	19.7	9.8	8.5	80.1	12.1	7.0	1.1	0.0	0.0	1020.2	991.3	0.0	0.0	0.0	-	0.0	-	-	-	-	-	3.0	-	-
2018-10-19	10.9	13.8	9.2	7.0	92.4	12.1	7.4	2.5	0.0	0.0	1022.9	993.7	0.0	0.0	0.0	-	0.0	-	-	-	-	3.0	1.8	-	-
2018-10-20	10.1	12.4	9.4	8.0	87.8	10.9	7.9	2.9	0.0	0.0	1025.7	996.3	1.6	1.0	0.6	-	0.0	-	2.8	-	-	-	-	-	-
2018-10-21	7.3	9.9	3.6	1.0	86.8	8.9	6.5	1.9	0.0	0.0	1027.9	998.1	0.4	0.4	0.0	-	0.0	-	4.0	-	-	-	-	-	-
2018-10-22	5.8	12.5	0.3	-3.4	90.1	8.4	4.9	2.4	0.0	0.0	1026.8	996.8	0.3	0.0	0.3	-	0.0	-	2.0	-	-	3.6	-	-	-
2018-10-23	7.3	9.4	4.0	1.0	84.4	8.6	6.8	7.9	10.1	0.0	1016.0	986.6	16.3	3.6	12.7	-	0.0	-	11.3	-	-	-	-	-	-
2018-10-24	7.5	9.4	6.1	5.0	65.4	6.7	3.9	9.0	8.9	0.0	1006.2	977.0	0.0	0.0	0.0	-	0.0	-	1.7	-	-	-	-	-	-
2018-10-25	7.1	11.0	1.5	0.5	88.0	9.1	6.5	6.4	1.5	0.0	1010.7	981.3	5.6	2.6	3.0	-	0.0	-	8.6	-	-	-	-	-	-
2018-10-26	8.7	11.9	6.0	3.0	79.8	8.9	6.9	3.1	0.0	0.0	1010.5	981.4	0.0	0.0	0.0	-	0.0	-	-	-	-	-	5.0	-	-
2018-10-27	8.1	13.8	3.9	1.2	89.1	9.6	7.4	1.8	0.0	0.0	1007.5	978.4	15.8	3.7	12.1	-	0.0	-	11.5	-	-	-	10.0	-	-
2018-10-28	5.8	8.9	5.0	4.5	95.0	8.8	8.0	5.8	0.0	0.0	1011.6	982.1	7.9	7.2	0.7	-	0.0	-	19.0	-	-	5.9	-	-	-
2018-10-29	11.5	17.7	6.1	4.0	91.5	12.5	6.0	2.6	0.0	0.0	1008.3	979.5	0.0	0.0	0.0	-	0.0	-	0.3	-	-	7.1	-	-	-
2018-10-30	17.0	21.9	13.3	9.0	58.9	11.2	4.5	3.9	0.0	0.0	1007.1	978.9	0.0	0.0	0.0	-	0.0	-	-	-	-	-	-	-	-
2018-10-31	10.6	19.2	4.1	0.5	69.5	8.5	1.3	1.1	0.0	0.0	1021.9	992.6	0.0	0.0	0.0	-	0.0	-	-	-	-	-	9.0	-	-
2018-11-01	11.2	18.8	2.5	0.5	74.4	9.7	5.0	2.6	0.0	0.0	1021.2	992.0	0.1	0.0	0.1	-	0.0	-	-	-	-	-	7.0	-	-
2018-11-02	15.0	21.9	11.0	8.1	73.3	12.4	5.9	1.0	0.0	0.0	1022.0	993.2	2.8	0.0	2.8	-	0.0	-	3.7	-	-	-	-	-	-
2018-11-03	11.7	14.3	10.3	9.4	95.8	13.1	8.0	2.1	0.0	0.0	1026.6	997.3	0.2	0.1	0.1	-	0.0	-	8.8	-	-	1.4	-	-	-
2018-11-04	10.9	12.0	9.6	9.0	96.6	12.6	8.0	4.0	0.0	0.0	1024.1	994.8	0.0	0.0	0.0	-	0.0	-	6.1	-	-	2.2	-	-	-
2018-11-05	11.7	14.1	10.4	7.9	93.0	12.7	7.1	2.6	0.0	0.0	1020.2	991.1	0.0	0.0	0.0	-	0.0	-	-	-	-	6.3	-	-	-
2018-11-06	9.3	17.1	4.2	3.7	87.0	10.1	3.4	1.9	0.0	0.0	1019.6	990.3	0.0	0.0	0.0	-	0.0	-	-	-	-	6.8	7.0	-	-
